id,Name,description,x,y,OBJECTID,new_ward_n,GaPa_NaP_1,Type_GN,type_en,DISTRICT,hlcit_code,munid,districtid,state
,"Nepal Army Helipad, Galchhi-6, Galchhi",,84.9945607737,27.8016485170,1514,6.000000,Galchi,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 010,323.000000,30.000000,3.000000
,"Nepal Army Helipad, Gajuri-1, Gajuri",,84.8820510072,27.8059003119,1530,1.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000
,"APF Helipad, Ichchhyakamana-4, Kuringhat",,84.6269825240,27.8679688747,1640,4.000000,Ichchhyakamana,Gaunpalika,Rural Municipality,CHITAWAN,524 3 35 4 001,396.000000,35.000000,3.000000
,"Kurintar Heliport, Ichchhyakamana-4, Cablecar",,84.5897538747,27.8785816500,1640,4.000000,Ichchhyakamana,Gaunpalika,Rural Municipality,CHITAWAN,524 3 35 4 001,396.000000,35.000000,3.000000
,"Bidur-12, Mandredhunga",,85.1332010202,27.8870098930,5958,12.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Nepal Army Helipad, Bidur-2, Damki",,85.1455282883,27.9066624278,5950,2.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Kalika-2, Kalikasthan",,85.2066231442,27.9978977932,2086,2.000000,Kalika,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 004,316.000000,29.000000,3.000000
,"Uttargaya-1, Mailung Dobhan",,85.2065984003,28.0733647004,2081,1.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
,"Gosaikunda-6, Dhunche",,85.2945716827,28.1114566215,2101,6.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
,"Gosaikunda-5, Shyaphrubesi",,85.3418151958,28.1670322338,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
,"Nuwakot Campus Helipad, Bidur-4, Battar",,85.1446883800,27.8983965871,5951,4.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Nepali Army Helipad, Bidur-4, Damki",,85.1437042168,27.9054702631,5951,4.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Gosaikunda-5, Narkkoti",,85.3318492947,28.1622740791,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
,"Bidur-7, Akkare Bajar",,85.1693835178,27.9644404824,6018,7.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Bidur-10, Gairikharka",,85.1665256558,27.9511557340,5971,10.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Bidur-1, Rimalghat",,85.1572376745,27.9339734255,5949,1.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
,"Tarkeshwar-4, Darshantar",,85.0528812562,27.8591848248,5956,4.000000,Tarkeshwar,Gaunpalika,Rural Municipality,NUWAKOT,524 3 28 4 003,312.000000,28.000000,3.000000
,"Siddhalek-7, Sindurtar",,84.9111313905,27.8062555019,1554,7.000000,Siddhalek,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 007,330.000000,30.000000,3.000000
,"Gajuri-5, Galaudu Khola",,84.8935617557,27.8071296051,1590,5.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000
