sb,x,y,OBJECTID,new_ward_n,GaPa_NaP_1,Type_GN,type_en,DISTRICT,hlcit_code,munid,districtid,state
1,85.1136939801,27.8636708282,5952,5.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
2,85.1421659044,27.9254824237,5955,9.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
3,85.1438898472,27.9055163720,5951,4.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
4,85.1444296889,27.9252169961,5955,9.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
5,85.1456701072,27.9064728953,5950,2.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
6,85.1486104733,27.8964913622,5950,2.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
7,85.1609668626,27.9367248148,5949,1.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
8,85.1648961396,27.9577974970,6018,7.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
9,85.1694771108,27.9644877528,6018,7.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
10,85.1825286974,28.0153065646,5942,5.000000,Kispang,Gaunpalika,Rural Municipality,NUWAKOT,524 3 28 4 002,305.000000,28.000000,3.000000
11,85.1838505259,27.9804911900,2098,5.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
12,85.1844376310,27.9787457606,2098,5.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
13,85.2061348280,28.0747456354,2081,1.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000
14,85.2957058481,28.1105527376,2101,6.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
15,85.3318832519,28.1622530678,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
16,85.3411534858,28.1813236309,2079,5.000000,Parbati Kunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 001,318.000000,29.000000,3.000000
17,85.3417892973,28.1670496995,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
