SN,longitude,latitude,Width,Bridge_Type,district,WARD,PALIKA,type_gn,Status
1,84.728999999999999,27.797000000000001,2.000000000000000,Suspension Bridge,DHADING,8.000000000000000,Benighat Rorang,Gaunpalika,N/A
2,84.924000000000007,27.797999999999998,10.000000000000000,RCC Bridge,DHADING,7.000000000000000,Siddhalek,Gaunpalika,N/A
3,84.974999999999994,27.800999999999998,2.000000000000000,Suspension Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
4,85.001000000000005,27.802000000000000,2.000000000000000,Suspension Bridge,DHADING,8.000000000000000,Galchi,Gaunpalika,N/A
5,84.715000000000003,27.802000000000000,2.000000000000000,Suspension Bridge,GORKHA,7.000000000000000,Gandaki,Gaunpalika,N/A
6,84.843999999999994,27.802000000000000,10.000000000000000,RCC Bridge,DHADING,2.000000000000000,Gajuri,Gaunpalika,N/A
7,85.003000000000000,27.802000000000000,10.000000000000000,RCC Bridge,DHADING,8.000000000000000,Galchi,Gaunpalika,N/A
8,84.872000000000000,27.803000000000001,2.000000000000000,Suspension Bridge,DHADING,6.000000000000000,Siddhalek,Gaunpalika,N/A
9,84.738000000000000,27.803000000000001,2.000000000000000,Suspension Bridge,GORKHA,7.000000000000000,Gandaki,Gaunpalika,N/A
10,84.991000000000000,27.803999999999998,2.000000000000000,Suspension Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
11,84.989999999999995,27.803999999999998,10.000000000000000,RCC Bridge,DHADING,1.000000000000000,Galchi,Gaunpalika,N/A
12,84.750000000000000,27.805000000000000,2.000000000000000,Suspension Bridge,DHADING,7.000000000000000,Benighat Rorang,Gaunpalika,N/A
13,84.902000000000001,27.806999999999999,10.000000000000000,RCC Bridge,DHADING,7.000000000000000,Siddhalek,Gaunpalika,N/A
14,84.941000000000003,27.806999999999999,2.000000000000000,Suspension Bridge,DHADING,7.000000000000000,Siddhalek,Gaunpalika,N/A
15,84.903999999999996,27.806999999999999,2.000000000000000,Suspension Bridge,DHADING,5.000000000000000,Gajuri,Gaunpalika,N/A
