Name,Total Building count,Exposed Building,DISTRICT,Municipality,Percentage,Ranking
Syangphubesidhungribajar,45,45,RASUWA,Gosaikunda,100,1
Rasuwagadhi,98,98,RASUWA,Gosaikunda,100,2
Piding,84,84,RASUWA,Gosaikunda,100,3
Power house rasuwagadhi,85,85,RASUWA,Gosaikunda,100,4
Uttargaya Rural Municipality area,131,131,RASUWA,Uttargaya,100,5
Trishuli Jal vidhyut company area,50,50,RASUWA,Uttargaya,100,6
Ghumaune,4,4,DHADING,Benighat Rorang,100,7
Trishuli Jal vidhyut company area,50,50,NUWAKOT,Kispang,100,8
Devighat,244,243,NUWAKOT,Bidur,99.59016393,9
Betrawati bazar,242,237,NUWAKOT,Bidur,97.9338843,10
Sole bazar,101,95,NUWAKOT,Bidur,94.05940594,11
Timure,250,224,RASUWA,Gosaikunda,89.6,12
Hugdi bazar,31,26,DHADING,Benighat Rorang,83.87096774,13
Majhimtar,172,143,DHADING,Benighat Rorang,83.13953488,14
Mailung Dobhan,41,34,RASUWA,Uttargaya,82.92682927,15
Thulo dhunga area,52,43,NUWAKOT,Bidur,82.69230769,16
Patauri,78,64,DHADING,Benighat Rorang,82.05128205,17
Chipleti,146,119,RASUWA,Uttargaya,81.50684932,18
Malinga,16,13,DHADING,Benighat Rorang,81.25,19
Richoktar,554,450,DHADING,Benighat Rorang,81.22743682,20
Bhainse,139,111,NUWAKOT,Bidur,79.85611511,21
malekhu Bridge area,130,102,DHADING,Gajuri,78.46153846,22
Dishltyank Bajar,316,224,NUWAKOT,Bidur,70.88607595,23
Akkare Bajar,253,159,NUWAKOT,Bidur,62.8458498,24
Dhodbesi,42,24,NUWAKOT,Tarkeshwar,57.14285714,25
Tastung,58,31,DHADING,Benighat Rorang,53.44827586,26
Tastung,58,31,CHITAWAN,Ichchhyakamana,53.44827586,27
Beldada,45,24,DHADING,Benighat Rorang,53.33333333,28
Banglangmukhi khana store area,152,78,RASUWA,Uttargaya,51.31578947,29
Dhulstar,95,47,DHADING,Benighat Rorang,49.47368421,30
Khatritar,267,131,DHADING,Benighat Rorang,49.06367041,31
Boketar,430,206,RASUWA,Uttargaya,47.90697674,32
Kashitar,211,95,NUWAKOT,Belkotgadhi,45.02369668,33
Shyaphru,367,163,RASUWA,Gosaikunda,44.41416894,34
Chanaute,152,67,NUWAKOT,Belkotgadhi,44.07894737,35
Bhumlichowk area,177,56,CHITAWAN,Ichchhyakamana,31.63841808,36
Salanghat,100,31,DHADING,Siddhalek,31,37
Salanghat,100,31,DHADING,Benighat Rorang,31,38
Tirshuli Bazzar,1773,454,NUWAKOT,Bidur,25.60631698,39
Karmetar,148,33,NUWAKOT,Bidur,22.2972973,40
Tarkeshwor ward office 2 area,113,24,NUWAKOT,Tarkeshwar,21.23893805,41
Dhunge Bajar,1364,268,NUWAKOT,Bidur,19.64809384,42
Charaudi,218,39,DHADING,Benighat Rorang,17.88990826,43
Majuwadada,26,4,DHADING,Gajuri,15.38461538,44
Simbutar,201,29,NUWAKOT,Bidur,14.4278607,45
Bandre,210,25,NUWAKOT,Bidur,11.9047619,46
Kalchedi,93,11,NUWAKOT,Belkotgadhi,11.82795699,47
Wangal,26,3,RASUWA,Gosaikunda,11.53846154,48
Pokhari Gaun,196,22,NUWAKOT,Kispang,11.2244898,49
Phirkep devighat,688,77,NUWAKOT,Bidur,11.19186047,50
Keureni,164,17,NUWAKOT,Belkotgadhi,10.36585366,51
Phachhimtar,130,12,DHADING,Benighat Rorang,9.230769231,52
Bhuwanibesi,618,52,NUWAKOT,Bidur,8.414239482,53
Maidtar,842,70,NUWAKOT,Bidur,8.313539192,54
Lingling,137,11,RASUWA,Gosaikunda,8.02919708,55
Gairigaun,600,47,NUWAKOT,Belkotgadhi,7.833333333,56
Mahadevphant,374,27,NUWAKOT,Belkotgadhi,7.219251337,57
Gahate,100,7,DHADING,Galchi,7,58
Bishaltar,210,14,DHADING,Benighat Rorang,6.666666667,59
Benighat,121,7,DHADING,Benighat Rorang,5.785123967,60
Dhansar,4161,234,NUWAKOT,Belkotgadhi,5.623648161,61
Dhansar,4161,234,NUWAKOT,Bidur,5.623648161,62
Kolpurtar,377,19,DHADING,Galchi,5.039787798,63
Kolpurtar,377,19,NUWAKOT,Belkotgadhi,5.039787798,64
Bishatar,128,6,DHADING,Benighat Rorang,4.6875,65
Rainas,177,8,GORKHA,Sahid Lakhan,4.519774011,66
Shree Chiurbanjyang primary school area,135,6,DHADING,Galchi,4.444444444,67
Karmindada gaun,2225,69,RASUWA,Kalika,3.101123596,68
Karmindada gaun,2225,69,RASUWA,Uttargaya,3.101123596,69
Siurenitar bajar,133,4,GORKHA,Gandaki,3.007518797,70
Buttar,295,8,GORKHA,Gandaki,2.711864407,71
Chanaute Bazar,224,6,NUWAKOT,Bidur,2.678571429,72
Pipaltar,1662,44,NUWAKOT,Bidur,2.647412756,73
Gerkhutar,544,14,NUWAKOT,Bidur,2.573529412,74
Charipauwa,507,13,DHADING,Galchi,2.564102564,75
Shanti Bazaar,381,9,NUWAKOT,Kispang,2.362204724,76
Silintar,91,2,GORKHA,Sahid Lakhan,2.197802198,77
Kurintar,613,13,CHITAWAN,Ichchhyakamana,2.120717781,78
Maheshdobhan,587,10,DHADING,Galchi,1.703577513,79
Khatauti,79,1,DHADING,Benighat Rorang,1.265822785,80
Hakubesi,134,1,RASUWA,Parbati Kunda,0.746268657,81
Darshantar,193,1,NUWAKOT,Tarkeshwar,0.518134715,82
Kyorenitar,401,2,DHADING,Galchi,0.498753117,83
Munglin bazar,424,2,CHITAWAN,Ichchhyakamana,0.471698113,84
Belintar,265,1,DHADING,Galchi,0.377358491,85
Amantaar,126,0,DHADING,Siddhalek,0,86
Thulo gaun,27,0,DHADING,Siddhalek,0,87
Pipaltar,131,0,DHADING,Siddhalek,0,88
Galaudi,71,0,DHADING,Siddhalek,0,89
Majhitar,143,0,DHADING,Siddhalek,0,90
Kharmatar,39,0,DHADING,Siddhalek,0,91
Dobhatar,67,0,DHADING,Siddhalek,0,92
Arubastar,57,0,DHADING,Siddhalek,0,93
Bhante khola,65,0,DHADING,Siddhalek,0,94
Nibuwatar,32,0,DHADING,Siddhalek,0,95
Gyastru,42,0,DHADING,Siddhalek,0,96
Majhiwatar,9,0,DHADING,Siddhalek,0,97
Adamtar,287,0,DHADING,Siddhalek,0,98
Brabal,76,0,RASUWA,Gosaikunda,0,99
Thulo Bharkhu,182,0,RASUWA,Gosaikunda,0,100
Nessing village,312,0,RASUWA,Gosaikunda,0,101
Dhunche Bazar,1206,0,RASUWA,Gosaikunda,0,102
Bhimali gaau,69,0,RASUWA,Gosaikunda,0,103
Komin,12,0,RASUWA,Gosaikunda,0,104
Khaidi,50,0,RASUWA,Gosaikunda,0,105
Dal dahalphedi,83,0,RASUWA,Gosaikunda,0,106
Sano Bharkhu,158,0,RASUWA,Gosaikunda,0,107
Gigang,95,0,RASUWA,Gosaikunda,0,108
Gharang,322,0,RASUWA,Kalika,0,109
Ramche,218,0,RASUWA,Kalika,0,110
Shree gre school area,257,0,RASUWA,Parbati Kunda,0,111
Mendo,120,0,RASUWA,Parbati Kunda,0,112
Dobo temba phubhu hosptial area,407,0,RASUWA,Parbati Kunda,0,113
Banuwa Dada,271,0,RASUWA,Uttargaya,0,114
Haku suspension bridge area,2,0,RASUWA,Uttargaya,0,115
Gogane,44,0,RASUWA,Uttargaya,0,116
panchalinge school aarea,58,0,RASUWA,Uttargaya,0,117
Bhatta Tole,148,0,RASUWA,Uttargaya,0,118
Dandangaun,311,0,RASUWA,Uttargaya,0,119
Paire gaun,83,0,RASUWA,Uttargaya,0,120
Bahuntar,278,0,DHADING,Benighat Rorang,0,121
Dharapani,191,0,DHADING,Gajuri,0,122
Galaudi,71,0,DHADING,Gajuri,0,123
Gajuri bajar,536,0,DHADING,Gajuri,0,124
Chalise,58,0,DHADING,Gajuri,0,125
Chepangtari,20,0,DHADING,Gajuri,0,126
Banchetar,125,0,DHADING,Gajuri,0,127
Adamghat,213,0,DHADING,Gajuri,0,128
Ralgaun,273,0,DHADING,Gajuri,0,129
Bhaisekhor,37,0,DHADING,Gajuri,0,130
Sinnesigaun,165,0,DHADING,Galchi,0,131
Mastar,338,0,DHADING,Galchi,0,132
Kallerighat,216,0,DHADING,Galchi,0,133
Suntar,405,0,DHADING,Galchi,0,134
Mashatar,138,0,DHADING,Galchi,0,135
Belukhu bazar,93,0,DHADING,Galchi,0,136
Todke,91,0,NUWAKOT,Belkotgadhi,0,137
Dahal gaun,105,0,NUWAKOT,Belkotgadhi,0,138
siyale,72,0,NUWAKOT,Bidur,0,139
Angutar,546,0,NUWAKOT,Bidur,0,140
Pipal dada,116,0,NUWAKOT,Bidur,0,141
Nuwakot Durbar square area,903,0,NUWAKOT,Bidur,0,142
Chargahare,429,0,NUWAKOT,Bidur,0,143
Rimalghat,34,0,NUWAKOT,Bidur,0,144
Khadkathok,204,0,NUWAKOT,Bidur,0,145
Kaligaun,1385,0,NUWAKOT,Bidur,0,146
Ghale Gaun,284,0,NUWAKOT,Kispang,0,147
Jamune,242,0,NUWAKOT,Kispang,0,148
Tarukaghat,104,0,NUWAKOT,Tarkeshwar,0,149
Pimaltar,138,0,NUWAKOT,Tarkeshwar,0,150
Majhitar,132,0,NUWAKOT,Tarkeshwar,0,151
Chumlintar,146,0,CHITAWAN,Ichchhyakamana,0,152
Panch kilo zone,31,0,CHITAWAN,Ichchhyakamana,0,153
Below panch kilo,35,0,CHITAWAN,Ichchhyakamana,0,154
Jaibire jharana area,39,0,CHITAWAN,Ichchhyakamana,0,155
Chluribas area,15,0,CHITAWAN,Ichchhyakamana,0,156
Rindi khoa zone,6,0,CHITAWAN,Ichchhyakamana,0,157
Lewatar,274,0,CHITAWAN,Ichchhyakamana,0,158
Dhusa,61,0,CHITAWAN,Ichchhyakamana,0,159
Karingh,240,0,CHITAWAN,Ichchhyakamana,0,160
Kamalbari,137,0,CHITAWAN,Ichchhyakamana,0,161
Santi bazar,39,0,CHITAWAN,Ichchhyakamana,0,162
Khalikhola Bridge,59,0,CHITAWAN,Ichchhyakamana,0,163
Kautikhet,19,0,GORKHA,Gandaki,0,164
Surintaar,75,0,GORKHA,Gandaki,0,165
Beldanda,27,0,GORKHA,Gandaki,0,166
Jyamire ghat,22,0,GORKHA,Gandaki,0,167
Jyamrighat,75,0,GORKHA,Gandaki,0,168
Adventure aves rafting and kayaking area,3,0,GORKHA,Gandaki,0,169
Gdhaibesi,41,0,GORKHA,Gandaki,0,170
Sukubasitor,88,0,GORKHA,Gandaki,0,171
Dhobadighat,15,0,GORKHA,Gandaki,0,172
Chuwatar,62,0,GORKHA,Gandaki,0,173
Itar,53,0,GORKHA,Gandaki,0,174
Hullingtar,5,0,GORKHA,Gandaki,0,175
Beldada,54,0,GORKHA,Gandaki,0,176
Chhatar,33,0,GORKHA,Gandaki,0,177
Thokuwatar,258,0,GORKHA,Sahid Lakhan,0,178
Nibhare,109,0,GORKHA,Sahid Lakhan,0,179
Tribeni,20,0,GORKHA,Sahid Lakhan,0,180
,49980,5897,,,,
