booth_id,booth_name,state,district,municipality,ward_no,OBJECTID,new_ward_n,GaPa_NaP_1,Type_GN,type_en,DISTRICT_2,hlcit_code,munid,districtid,state_2
8604,"आदर्श उमावि,गजुरी",बागमती प्रदेश,धादिङ,गजुरी गाउँपालिका,1,1530,1.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000
8597,"वागेश्वरी मा.वि., रिचोकटार",बागमती प्रदेश,धादिङ,बेनीघाट रोराङ्ग गाउँपालिका,3,1515,3.000000,Benighat Rorang,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 008,320.000000,30.000000,3.000000
8602,"५ नं. वडा कार्यालय, वेनिघाट",बागमती प्रदेश,धादिङ,बेनीघाट रोराङ्ग गाउँपालिका,5,1517,5.000000,Benighat Rorang,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 008,320.000000,30.000000,3.000000
8592,"बुद्धिविकास प्रावि,चरौदी",बागमती प्रदेश,धादिङ,बेनीघाट रोराङ्ग गाउँपालिका,7,1526,7.000000,Benighat Rorang,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 008,320.000000,30.000000,3.000000
8590,"शं‌खादेवी मा.वि., मझिमटार",बागमती प्रदेश,धादिङ,बेनीघाट रोराङ्ग गाउँपालिका,9,1539,9.000000,Benighat Rorang,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 008,320.000000,30.000000,3.000000
9264,त्रित्रि मावि त्रिशुली,बागमती प्रदेश,नुवाकोट,विदुर नगरपालिका,1,5949,1.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
10344,रणभुमेश्वरी मा.वि.,बागमती प्रदेश,नुवाकोट,विदुर नगरपालिका,3,5981,3.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
10347,मान्द्रेढुङ्गा आधारभूत विद्यालय मान्द्रेढुङ्गा,बागमती प्रदेश,नुवाकोट,विदुर नगरपालिका,6,5958,12.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
9203,चण्डेश्वरी मावि,बागमती प्रदेश,नुवाकोट,विदुर नगरपालिका,7,6018,7.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
8941,रामचन्द्र आधारभुत विद्यालय,बागमती प्रदेश,नुवाकोट,विदुर नगरपालिका,10,5971,10.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000
8119,"श्री नेपाल राष्ट्रिय आ.वि., टिमुरे",बागमती प्रदेश,रसुवा,गोसाईकुण्ड गाउँपालिका,2,2104,2.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
9833,"गोसाईकुण्ड गाउँपालिका 5 नं. वडा कार्यालय, स्याफ्रुबेसी",बागमती प्रदेश,रसुवा,गोसाईकुण्ड गाउँपालिका,5,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000
