Name,Long,Lat,DISTRICT_min,GAPA_NAPA_min_2,Type_GN_min
Shree Maha,84.863,27.819,DHADING,Siddhalek,Gaunpalika
Shree Mana,84.858,27.843,DHADING,Siddhalek,Gaunpalika
Shree Dand,84.877,27.816,DHADING,Siddhalek,Gaunpalika
Shree Chuw,84.88,27.832,DHADING,Siddhalek,Gaunpalika
Shree Bhum,84.923,27.826,DHADING,Siddhalek,Gaunpalika
Shree Kali,84.923,27.814,DHADING,Siddhalek,Gaunpalika
Shree Kali,84.857,27.82,DHADING,Siddhalek,Gaunpalika
Shree Jalp,84.906,27.821,DHADING,Siddhalek,Gaunpalika
Shree Kunn,84.902,27.814,DHADING,Siddhalek,Gaunpalika
Shree Sima,84.935,27.818,DHADING,Galchi,Gaunpalika
Shree Rewa,84.797,27.863,DHADING,Siddhalek,Gaunpalika
Shree Dhad,84.92,27.84,DHADING,Galchi,Gaunpalika
Shree Shiw,84.925,27.829,DHADING,Galchi,Gaunpalika
Shree Maha,84.798,27.858,DHADING,Siddhalek,Gaunpalika
Shree Kali,84.825,27.833,DHADING,Siddhalek,Gaunpalika
Shree Nala,84.841,27.869,DHADING,Siddhalek,Gaunpalika
Shree Mali,84.814,27.835,DHADING,Siddhalek,Gaunpalika
Shree Sars,84.902,27.799,DHADING,Gajuri,Gaunpalika
Shree Jiba,84.884,27.801,DHADING,Gajuri,Gaunpalika
Shri Satya,84.938,27.811,DHADING,Siddhalek,Gaunpalika
Shri Saras,84.902,27.799,DHADING,Gajuri,Gaunpalika
Shri Jiban,84.884,27.801,DHADING,Gajuri,Gaunpalika
Munal Acad,84.877,27.805,DHADING,Gajuri,Gaunpalika
Shri Aadar,84.877,27.807,DHADING,Gajuri,Gaunpalika
Shri Adars,84.879,27.808,DHADING,Gajuri,Gaunpalika
Shri Golma,84.838,27.812,DHADING,Siddhalek,Gaunpalika
Shri Orban,84.799,27.81,DHADING,Benighat Rorang,Gaunpalika
Shri Chand,84.782,27.812,DHADING,Benighat Rorang,Gaunpalika
Shree Bhad,84.836,27.807,DHADING,Gajuri,Gaunpalika
Dhading Po,84.873,27.8,DHADING,Gajuri,Gaunpalika
Beni Siksh,84.782,27.811,DHADING,Benighat Rorang,Gaunpalika
Shree Jana,84.55,27.904,GORKHA,Sahid Lakhan,Gaunpalika
Shree Gang,84.558,27.881,GORKHA,Sahid Lakhan,Gaunpalika
Shri Karan,84.554,27.862,GORKHA,Sahid Lakhan,Gaunpalika
Shree Nepa,85.36,28.142,RASUWA,Gosaikunda,Gaunpalika
Shree Rasu,85.295,28.113,RASUWA,Gosaikunda,Gaunpalika
3-9c(s) an,85.314,28.169,RASUWA,Parbati Kunda,Gaunpalika
Highland H,85.3,28.111,RASUWA,Gosaikunda,Gaunpalika
Parwatikun,85.313,28.168,RASUWA,Parbati Kunda,Gaunpalika
Shree Arun,85.352,28.229,RASUWA,Gosaikunda,Gaunpalika
Shree komi,85.332,28.162,RASUWA,Gosaikunda,Gaunpalika
Shree Nepa,85.345,28.197,RASUWA,Parbati Kunda,Gaunpalika
Shree Haku,85.279,28.115,RASUWA,Parbati Kunda,Gaunpalika
Gosaikunda,85.339,28.164,RASUWA,Gosaikunda,Gaunpalika
Shree Sila,85.21,28.001,RASUWA,Kalika,Gaunpalika
Shree Bhub,85.2,28.009,RASUWA,Uttargaya,Gaunpalika
Shree Deur,85.223,27.987,RASUWA,Kalika,Gaunpalika
Shree Sury,85.238,27.978,RASUWA,Kalika,Gaunpalika
Shree Jwal,85.241,27.986,RASUWA,Kalika,Gaunpalika
Shree Bhim,85.193,27.985,RASUWA,Uttargaya,Gaunpalika
Shree Amar,85.195,27.988,RASUWA,Uttargaya,Gaunpalika
Shree Mana,85.198,27.991,RASUWA,Kalika,Gaunpalika
Shree Nilk,85.224,27.994,RASUWA,Kalika,Gaunpalika
Shree Nava,85.195,28.012,RASUWA,Uttargaya,Gaunpalika
Shree Dhun,85.2,28.016,RASUWA,Uttargaya,Gaunpalika
Panchalink,85.195,28.062,RASUWA,Uttargaya,Gaunpalika
Shree Gane,85.2,28.07,RASUWA,Uttargaya,Gaunpalika
Shree Chip,85.208,28.056,RASUWA,Uttargaya,Gaunpalika
Shree Bhim,85.193,27.985,RASUWA,Uttargaya,Gaunpalika
Shree Balu,85.208,28.073,RASUWA,Uttargaya,Gaunpalika
Shree Jyot,85.129,28.005,NUWAKOT,Kispang,Gaunpalika
Shree Nuch,85.129,28.018,NUWAKOT,Kispang,Gaunpalika
Shree Durg,85.145,28.085,NUWAKOT,Kispang,Gaunpalika
Shree Panc,85.142,28.002,NUWAKOT,Kispang,Gaunpalika
Phikuri Mu,85.166,28.003,NUWAKOT,Kispang,Gaunpalika
Shree Gyan,85.166,28.003,NUWAKOT,Kispang,Gaunpalika
Shree karu,85.191,28.087,RASUWA,Uttargaya,Gaunpalika
Shree Bhum,85.175,28.086,RASUWA,Uttargaya,Gaunpalika
Shree Tiru,85.209,28.09,RASUWA,Uttargaya,Gaunpalika
Shree Siva,85.191,27.984,RASUWA,Uttargaya,Gaunpalika
Shree Bhum,85.173,28.026,RASUWA,Uttargaya,Gaunpalika
Shree Sara,85.18,28.028,RASUWA,Uttargaya,Gaunpalika
Shree Dada,85.186,28.038,RASUWA,Uttargaya,Gaunpalika
Shree Sund,85.177,27.976,NUWAKOT,Bidur,Nagarpalika
Shree Siml,85.191,28.03,RASUWA,Uttargaya,Gaunpalika
Shree Dand,85.185,28.038,RASUWA,Uttargaya,Gaunpalika
Shree Siva,85.191,27.984,RASUWA,Uttargaya,Gaunpalika
Shree Trib,85.178,28.018,NUWAKOT,Kispang,Gaunpalika
Shree Bara,85.188,27.988,RASUWA,Uttargaya,Gaunpalika
Shree Neel,85.184,27.979,RASUWA,Uttargaya,Gaunpalika
Shree Dipe,85.189,28.047,RASUWA,Uttargaya,Gaunpalika
Shree Mali,85.189,28.009,RASUWA,Uttargaya,Gaunpalika
Shree kali,85.222,28.088,RASUWA,Uttargaya,Gaunpalika
Shree Kark,85.174,27.988,NUWAKOT,Kispang,Gaunpalika
Shree Janj,84.84,27.787,DHADING,Gajuri,Gaunpalika
Shree Jana,84.831,27.774,DHADING,Gajuri,Gaunpalika
Shree Mahe,84.859,27.762,DHADING,Gajuri,Gaunpalika
Shree Sund,84.876,27.797,DHADING,Gajuri,Gaunpalika
Shree Bata,84.855,27.732,DHADING,Gajuri,Gaunpalika
Shree Keur,84.865,27.768,DHADING,Gajuri,Gaunpalika
Bal kantha,84.705,27.77,DHADING,Benighat Rorang,Gaunpalika
Robang Adh,84.693,27.752,DHADING,Benighat Rorang,Gaunpalika
Shree Jana,84.701,27.8,DHADING,Benighat Rorang,Gaunpalika
Mahakali B,84.719,27.795,DHADING,Benighat Rorang,Gaunpalika
Pipaldanda,84.711,27.791,DHADING,Benighat Rorang,Gaunpalika
Bitesh Bas,84.703,27.774,DHADING,Benighat Rorang,Gaunpalika
Bhangeri B,84.759,27.778,DHADING,Benighat Rorang,Gaunpalika
Aadarsh Ba,84.746,27.779,DHADING,Benighat Rorang,Gaunpalika
Chitrakala,84.684,27.805,DHADING,Benighat Rorang,Gaunpalika
Jogimara B,84.679,27.795,DHADING,Benighat Rorang,Gaunpalika
Rastriya S,84.671,27.805,DHADING,Benighat Rorang,Gaunpalika
Goirang Ba,84.682,27.804,DHADING,Benighat Rorang,Gaunpalika
Shree Jalk,84.658,27.801,DHADING,Benighat Rorang,Gaunpalika
Rastriya B,84.655,27.814,DHADING,Benighat Rorang,Gaunpalika
Shree Kosr,84.68,27.773,DHADING,Benighat Rorang,Gaunpalika
Padamchour,84.656,27.796,DHADING,Benighat Rorang,Gaunpalika
Malika Bas,84.684,27.79,DHADING,Benighat Rorang,Gaunpalika
Suryadaya ,84.713,27.772,DHADING,Benighat Rorang,Gaunpalika
Gothibanjh,84.718,27.751,DHADING,Benighat Rorang,Gaunpalika
Kalika Sec,84.727,27.766,DHADING,Benighat Rorang,Gaunpalika
Janaprabha,84.732,27.762,DHADING,Benighat Rorang,Gaunpalika
Shree Panc,84.771,27.763,DHADING,Benighat Rorang,Gaunpalika
Siddhakali,84.774,27.757,DHADING,Benighat Rorang,Gaunpalika
Dhusa Basi,84.777,27.774,DHADING,Benighat Rorang,Gaunpalika
Jaladevi B,84.699,27.741,DHADING,Benighat Rorang,Gaunpalika
Nawaprativ,84.742,27.746,DHADING,Benighat Rorang,Gaunpalika
Harkapur S,84.809,27.78,DHADING,Benighat Rorang,Gaunpalika
Richok Ira,84.805,27.766,DHADING,Benighat Rorang,Gaunpalika
JanaJagrit,84.818,27.756,DHADING,Benighat Rorang,Gaunpalika
Kalika Bas,84.795,27.783,DHADING,Benighat Rorang,Gaunpalika
Shree Rawa,84.824,27.757,DHADING,Benighat Rorang,Gaunpalika
Shree Gaur,84.818,27.748,DHADING,Benighat Rorang,Gaunpalika
Talti Boar,84.811,27.743,DHADING,Benighat Rorang,Gaunpalika
Shree Chan,84.836,27.717,DHADING,Benighat Rorang,Gaunpalika
Baskharka ,84.883,27.703,DHADING,Benighat Rorang,Gaunpalika
Bomrang Ba,84.755,27.743,DHADING,Benighat Rorang,Gaunpalika
Mahadevsth,84.854,27.707,DHADING,Benighat Rorang,Gaunpalika
Shree Jaru,84.875,27.686,DHADING,Benighat Rorang,Gaunpalika
Shree Simt,84.875,27.696,DHADING,Benighat Rorang,Gaunpalika
Shree kunc,84.868,27.718,DHADING,Benighat Rorang,Gaunpalika
Shree Sing,84.882,27.671,DHADING,Benighat Rorang,Gaunpalika
Shree Pipa,84.811,27.73,DHADING,Benighat Rorang,Gaunpalika
Shree Praj,84.813,27.723,DHADING,Benighat Rorang,Gaunpalika
Shri Panch,84.718,27.798,DHADING,Benighat Rorang,Gaunpalika
Shri Janaj,84.701,27.8,DHADING,Benighat Rorang,Gaunpalika
Shri Buddh,84.749,27.804,DHADING,Benighat Rorang,Gaunpalika
Shri Praja,84.7,27.812,GORKHA,Gandaki,Gaunpalika
Shree Sank,84.705,27.806,DHADING,Benighat Rorang,Gaunpalika
Rising Sta,84.739,27.802,DHADING,Benighat Rorang,Gaunpalika
Jhagare Da,84.747,27.796,DHADING,Benighat Rorang,Gaunpalika
Shree Bage,84.938,27.707,DHADING,Gajuri,Gaunpalika
Shree Gane,84.932,27.761,DHADING,Gajuri,Gaunpalika
Shree Panc,84.924,27.772,DHADING,Gajuri,Gaunpalika
Shree Sapt,84.963,27.714,DHADING,Gajuri,Gaunpalika
Shree Thum,84.941,27.7,DHADING,Gajuri,Gaunpalika
Shree Bhan,84.919,27.788,DHADING,Gajuri,Gaunpalika
Shree Amal,84.972,27.79,DHADING,Galchi,Gaunpalika
Shree Bagh,84.907,27.788,DHADING,Gajuri,Gaunpalika
Shree Jala,84.977,27.762,DHADING,Galchi,Gaunpalika
Shree Bhai,84.936,27.783,DHADING,Galchi,Gaunpalika
Shree Than,84.947,27.765,DHADING,Galchi,Gaunpalika
Shree Rith,84.938,27.743,DHADING,Gajuri,Gaunpalika
Shree Rakt,84.927,27.746,DHADING,Gajuri,Gaunpalika
Shree Sita,84.948,27.755,DHADING,Gajuri,Gaunpalika
Shree Ritt,84.946,27.735,DHADING,Gajuri,Gaunpalika
Shree Bage,84.955,27.787,DHADING,Galchi,Gaunpalika
Shree kira,84.956,27.762,DHADING,Galchi,Gaunpalika
Shree Maha,84.909,27.78,DHADING,Gajuri,Gaunpalika
Shree Puku,84.912,27.746,DHADING,Gajuri,Gaunpalika
Shree Kira,84.926,27.76,DHADING,Gajuri,Gaunpalika
Shri Indra,84.944,27.805,DHADING,Gajuri,Gaunpalika
Shri Belin,84.944,27.815,DHADING,Galchi,Gaunpalika
Shree Rakt,84.967,27.813,DHADING,Galchi,Gaunpalika
Shree Jwal,85.019,27.802,DHADING,Galchi,Gaunpalika
Shree Goga,85.052,27.785,DHADING,Galchi,Gaunpalika
Shree Asar,85.078,27.781,DHADING,Galchi,Gaunpalika
Shree Goga,85.083,27.768,DHADING,Galchi,Gaunpalika
Shree Bhai,85.005,27.829,DHADING,Galchi,Gaunpalika
Shree kall,84.952,27.838,DHADING,Galchi,Gaunpalika
Shree Tink,84.959,27.827,DHADING,Galchi,Gaunpalika
Shree Sara,84.998,27.821,DHADING,Galchi,Gaunpalika
Shree Bhak,84.947,27.829,DHADING,Galchi,Gaunpalika
Shree Jalp,84.995,27.831,DHADING,Galchi,Gaunpalika
Shree Band,85.011,27.764,DHADING,Galchi,Gaunpalika
Shree Balk,85.006,27.787,DHADING,Galchi,Gaunpalika
Shree Jwal,85.033,27.818,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Mali,85.08,27.831,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Band,85.074,27.797,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Gaul,85.069,27.811,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Utpa,85.08,27.837,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Panc,85.094,27.814,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Nepa,85.074,27.826,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Bhai,85.039,27.843,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Gane,85.032,27.83,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Indr,85.046,27.829,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Gane,85.055,27.842,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sara,85.076,27.847,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Jana,85.064,27.843,NUWAKOT,Belkotgadhi,Nagarpalika
Shri Sila ,85.042,27.851,NUWAKOT,Belkotgadhi,Nagarpalika
Shri Ganes,85.028,27.849,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Pima,85.019,27.839,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Maha,85.014,27.811,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Panc,85.183,27.838,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sury,85.2,27.883,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sapt,85.187,27.867,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sara,85.022,27.877,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Chan,85.042,27.87,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Shil,85.129,27.835,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Chak,85.057,27.871,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Anna,85.049,27.867,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Ralu,85.023,27.886,NUWAKOT,Tarkeshwar,Gaunpalika
Taruka Shr,85.012,27.866,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Tila,85.11,27.813,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Leks,85.109,27.819,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Balk,85.141,27.84,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Jana,85.12,27.842,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Maha,85.115,27.832,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Jana,85.098,27.838,NUWAKOT,Belkotgadhi,Nagarpalika
Kumari Nam,85.156,27.777,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Kaly,85.107,27.849,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Bage,85.099,27.849,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Maha,85.132,27.847,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Ujjw,85.116,27.824,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Vais,85.079,27.866,NUWAKOT,Bidur,Nagarpalika
Shree Bhum,85.051,27.884,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Nawa,85.071,27.881,NUWAKOT,Tarkeshwar,Gaunpalika
Shree Aruk,85.176,27.813,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sund,85.108,27.884,NUWAKOT,Bidur,Nagarpalika
Shree Belk,85.157,27.809,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Saha,85.151,27.822,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Bire,85.101,27.889,NUWAKOT,Bidur,Nagarpalika
Shree Naw ,85.201,27.838,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Gane,85.137,27.776,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Chit,85.148,27.795,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Kris,85.137,27.785,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Sara,85.156,27.859,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Bhri,85.167,27.871,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Kali,85.167,27.834,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Chan,85.09,27.878,NUWAKOT,Bidur,Nagarpalika
Shree Jala,85.104,27.872,NUWAKOT,Bidur,Nagarpalika
Shree Nawa,85.121,27.777,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Laxm,85.127,27.784,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Khan,85.171,27.788,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Bika,85.101,27.794,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Shra,85.168,27.778,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Pokh,85.131,27.793,NUWAKOT,Belkotgadhi,Nagarpalika
Shri Janas,85.09,27.854,NUWAKOT,Belkotgadhi,Nagarpalika
Shree Mand,85.13,27.886,NUWAKOT,Bidur,Nagarpalika
Shri Chand,85.081,27.858,NUWAKOT,Bidur,Nagarpalika
Mahadev Mu,85.06,27.852,NUWAKOT,Belkotgadhi,Nagarpalika
Shri Seti ,85.087,27.863,NUWAKOT,Bidur,Nagarpalika
