id,hf_code,hf_name,facility_type,level,ownership,province,district,municipality,ward,operational_status,contact_person,contact_mobile,telephone,email,website,ambulance,oxygen,pharmacy,insurance,established_date,hmis_code,OBJECTID,new_ward_n,GaPa_NaP_1,Type_GN,type_en,DISTRICT_2,hlcit_code,munid,districtid,state,Long,Lat
2395,3030100081,SYAFRUBESI HEALTH POST RASUWA,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Rasuwa, Gosaikunda Rural Municipality,5,Functional,khambu bohara,"9861227760","010541060",syafruhp123@gmail.com,,,,,,"03/12/2036",ceSf4Es3SpC,2103,5.000000,Gosaikunda,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 002,315.000000,29.000000,3.000000,85.341,28.165
2405,3030300021,BOGATITAR COMMUNITY HEALTH UNIT,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Rasuwa, Uttargaya Rural Municipality,5,Functional,Melnurani Ghale,"9866417150","9863194747",bogatitarchu1@gmail.com,,,yes,,,"01/08/2073",mbGREK0dI2E,2098,5.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000,85.186,27.978
2489,3041000051,GAJURI PHC,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Dhading, Gajuri Rural Municipality,1,Functional,Sudip Pandey,"9843703751",,phcgajuri@gmail.com,,yes,yes,no,yes,"01/04/2050",jfvfjM78dPp,1530,1.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000,84.880,27.806
2490,3041000062,GAJURI HOSPITAL,Non-Government,Basic Hospital (5 to 15 beds),Private Enterprise,Bagmati Pradesh,Dhading, Gajuri Rural Municipality,1,Functional,HARI BAHADUR KARKI,"9845089394","010402329",gajuriaspatal20640810@gmail.com,,yes,yes,yes,no,"09/05/2066",uaj7JNQy05o,1530,1.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000,84.879,27.805
2491,3041100011,BAIRENI AAYURVED DISPENSERY,Government,Basic Ayurveda Service Centre,Local Government,Bagmati Pradesh,Dhading, Galchhi Rural Municipality,5,Functional,Narayan Prasad Poudel,"9851069502",,ayurveda.galchhimun@gmail.con,,no,yes,yes,no,28/03/2057,,1514,6.000000,Galchi,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 010,323.000000,30.000000,3.000000,84.988,27.801
2492,3041100021,BAIRENI HOSPITAL,Government,Basic Hospital (5 to 15 beds),Local Government,Bagmati Pradesh,Dhading, Galchhi Rural Municipality,6,Functional,Indra Bahadur Sijapati,"984409377","010-590500",bairenihospital@gmail.com,,yes,yes,yes,yes,"01/04/2036",yWzPdU5rr0i,1514,6.000000,Galchi,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 010,323.000000,30.000000,3.000000,84.988,27.801
2532,3050400071,COMMUNITY HEALTH UNIT 12,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Nuwakot, Bidur Municipality,12,Functional,PRATIKSHA DEVKOTA,"9860319374",,pratikshadevkota8@gmail.com,,no,no,,,,,5958,12.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000,85.135,27.906
4365,3130300031,ICHCHHAKAMANA BASIC HOSPITAL,Government,Basic Hospital (5 to 15 beds),Local Government,Bagmati Pradesh,Chitawan, Ichchha Kamana Rural Municipality,4,Functional,DR.renu silwal ,"9840243773","9840243773",,,yes,yes,,,,duZvuzt9rU2,1640,4.000000,Ichchhyakamana,Gaunpalika,Rural Municipality,CHITAWAN,524 3 35 4 001,396.000000,35.000000,3.000000,84.627,27.870
4367,3130300051,PAMDANDA HP_CHITAWAN,Government,Health Post,Local Government,Bagmati Pradesh,Chitawan, Ichchha Kamana Rural Municipality,5,Functional,,,,,,,,,,,Va9Xr655DaG,1637,5.000000,Ichchhyakamana,Gaunpalika,Rural Municipality,CHITAWAN,524 3 35 4 001,396.000000,35.000000,3.000000,84.562,27.855
4386,3130400191,DALETAR AAYURVED DISPENSARY,Government,Basic Ayurveda Service Centre,Local Government,Bagmati Pradesh,Chitawan, Bharatpur Metropolitan City,29,Functional,Uma Aacharya ,,,,,,,,,"02/03/2072",,1655,29.000000,Bharatpur,Mahanagarpalika,Metropolitan,CHITAWAN,524 3 35 1 001,395.000000,35.000000,3.000000,84.470,27.769
4396,3130400291,KABILAS HEALTH POST,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Chitawan, Bharatpur Metropolitan City,29,Functional,Indra Bilash Dhakal,"9855075176",,,,no,no,no,no,,xZQiCm3P1C9,1655,29.000000,Bharatpur,Mahanagarpalika,Metropolitan,CHITAWAN,524 3 35 1 001,395.000000,35.000000,3.000000,84.471,27.768
9922,3030300061,MAILUNG COMMUNITY HEALTH UNIT,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Rasuwa, Uttargaya Rural Municipality,1,Functional,Sharada Acharya,"9860122883",,,,,,,,,GELrJeaWUuF,2080,2.000000,Uttargaya,Gaunpalika,Rural Municipality,RASUWA,524 3 29 4 003,319.000000,29.000000,3.000000,85.207,28.054
11279,3050400271,URBAN HEALTH CENTER 1,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Nuwakot, Bidur Municipality,1,Functional,Arpana lama,"9745345604",,arpanalama2012@gmail.com,,no,no,,,"02/01/2078",,5949,1.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000,85.155,27.924
11283,3050400291,URBAN HEALTH CENTER-4,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Nuwakot, Bidur Municipality,4,Functional,Sangita Bhandari ,"9841671925",,sbhandarirawal@gmail.com,,no,no,,,"01/04/2078",,5953,6.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000,85.142,27.899
11286,3050400311,URBAN HEALTH CENTER-10,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Nuwakot, Bidur Municipality,10,Functional,Prabin Pyakurel,"9841671877",,urbanhealthbidur10@gmail.com,,no,no,,,,,5949,1.000000,Bidur,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 001,302.000000,28.000000,3.000000,85.158,27.934
11452,3041100071,DUMRICHAUR BASIC HEALTH SERVICE CENTER,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Dhading, Galchhi Rural Municipality,1,Functional,Anita Dahal,"9843902471",,bhsc1.galchhimun@gmail.com,,no,yes,no,no,"01/04/2077",,1530,1.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000,84.880,27.806
14339,3040800061,SALANG GHAT BHSC,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Dhading, Siddhalek Rural Municipality,4,Functional,आषा श्रेष्ठ,"9840652797",,,,no,yes,no,no,"02/01/2076",,1571,4.000000,Siddhalek,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 007,330.000000,30.000000,3.000000,84.814,27.816
14343,3040800071,AADAMTAR BHSC,Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Dhading, Siddhalek Rural Municipality,7,Functional,अस्मिता तिवारी,"9864177715",,,,no,yes,no,no,"02/01/2076",,1554,7.000000,Siddhalek,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 007,330.000000,30.000000,3.000000,84.936,27.809
14364,3041000092,MALEKHU TEACHING HOSPITAL,Non-Government,Basic Hospital (5 to 15 beds),Private Enterprise,Bagmati Pradesh,Dhading, Gajuri Rural Municipality,2,Functional,Nirajan Kadel,"9851076868","010400171",,,no,yes,yes,no,14/10/2077,,1531,2.000000,Gajuri,Gaunpalika,Rural Municipality,DHADING,524 3 30 4 009,322.000000,30.000000,3.000000,84.835,27.806
16739,3050700101,"BASIC HEALTH UNIT,DARSHANTAAR",Government,Basic Health Service Centre,Local Government,Bagmati Pradesh,Nuwakot, Tarakeshwor Rural Municipality,4,Functional,Durga Devi Adhikari,"9849266517",,,,no,no,,,32/04/2080,,5999,7.000000,Belkotgadhi,Nagarpalika,Urban Municipality,NUWAKOT,524 3 28 3 002,301.000000,28.000000,3.000000,85.050,27.850
