id,title,type,district_n
11868,Baghauda PHC,Primary Health Care Center,Chitwan
11869,Chitwan OM Hospital Pvt Ltd,Hospital,Chitwan
11870,"Bharatpur Hospital, Chitwan",Hospital,Chitwan
11871,National City Hospital Pvt Ltd,Hospital,Chitwan
11872,BP Koirala Cancer Hospital,Hospital,Chitwan
11873,Maulakalika Hospital,Hospital,Chitwan
11874,Aasha Hospital Pvt Ltd,Hospital,Chitwan
11875,Santi Hospital Pvt Ltd,Hospital,Chitwan
11876,Sunaulo Bhabishya Nepal,Other,Chitwan
11877,Puspanjali Hospital Pvt Ltd,Hospital,Chitwan
11878,"Merry Stopes Centre, Bharatpur",Other,Chitwan
11879,Jay Buddha Health Science Academy,Other,Chitwan
11880,Kalika Dental Hospital Pvt Ltd,Dental Clinic,Chitwan
11881,Bharatpur Community Hospital Pvt Ltd,Hospital,Chitwan
11882,Oasis Medical College Teaching Hospital & Research Center,Medical College,Chitwan
11883,International Society for Medical Association Pvt Ltd,Hospital,Chitwan
11884,Balkumari Medical College,Medical College,Chitwan
11885,Chitwan Medical College,Medical College,Chitwan
11886,King Mahendra Eye Hospital,Hospital,Chitwan
11887,"FPAN, Bharatpur",Other,Chitwan
11888,Narayani Community Hospital  & Research Centre,Hospital,Chitwan
11889,Alive Hospital & Truma Center Pvt Ltd,Hospital,Chitwan
11890,Chitwan Hospital Pvt Ltd,Hospital,Chitwan
11891,Saptagandaki Hospital Pvt Ltd,Hospital,Chitwan
11892,Mankamana Hospital Pvt Ltd,Hospital,Chitwan
11893,National Anti Tuberclosis Association,Other,Chitwan
11894,Adarsha Nari Clinic and Health Counseling Centre,Other,Chitwan
11902,Shivanagar PHC,Primary Health Care Center,Chitwan
14926,Ayodhyapuri SHP,Health Post,Chitwan
14929,Bharatpur HP,Health Post,Chitwan
14932,Chandibhanjyang HP,Health Post,Chitwan
14933,Pamdanda SHP,Health Post,Chitwan
14934,Dahakhani HP,Health Post,Chitwan
14935,Mankamana Community Polyclinic Pvt.ltd.,Clinic,Chitwan
14936,Darechok SHP,Health Post,Chitwan
14937,Dibyanagar SHP,Health Post,Chitwan
14938,Fulbari HP,Health Post,Chitwan
14939,Gardi SHP,Health Post,Chitwan
14940,Gitanagar HP,Health Post,Chitwan
14941,People Polyclinic & Diagnostic Center Pvt. Ltd.,Diagnostic Center,Chitwan
14942,Gunjanagar HP,Health Post,Chitwan
14943,Jagatpur HP,Health Post,Chitwan
14945,Kabilas HP,Health Post,Chitwan
14947,Kaule SHP,Health Post,Chitwan
14952,Madikalyanpur SHP,Health Post,Chitwan
14953,Mangalpur SHP,Health Post,Chitwan
14954,Meghauli HP,Health Post,Chitwan
14955,Parbatipur SHP,Health Post,Chitwan
14956,Patihani SHP,Health Post,Chitwan
14960,Saradanagar HP,Health Post,Chitwan
14963,Sukranagar SHP,Health Post,Chitwan
16100,oasis medical college,Hospital,Chitwan
16110,kantipur dental,Dental Clinic,Chitwan
16111,sagan pharmacy,Pharmacy,Chitwan
16112,Narmada ayurved,Pharmacy,Chitwan
16113,Narayangard Pharma,Pharmacy,Chitwan
16114,hemal dental,Dental Clinic,Chitwan
16115,Bharatpur Samaudayek Hospital,Hospital,Chitwan
16116,su sustha chitwan,Dental Clinic,Chitwan
16117,lali guras,Dental Clinic,Chitwan
16122,Sabita Medical Hall,Pharmacy,Chitwan
16123,Sukriti Ayurved Ausadhalaya,Pharmacy,Chitwan
16194,none,Clinic,Chitwan
16195,Ganga aushadhalaya,Clinic,Chitwan
16197,Nirnayak diagnostics lab,Diagnostic Center,Chitwan
16276,Kaule Dispensary,Hospital,Chitwan
16377,Suprim Medical Hall,Pharmacy,Chitwan
16669,Mary Stopes,Hospital,Chitwan
16670,Nepal Red Cross Society,Hospital,Chitwan
16671,Bharatpur Family Planning Hospital,Hospital,Chitwan
16672,District Veterinary Hospital,Veterinary,Chitwan
16681,Mahendra Memorial Eye Hospital,Hospital,Chitwan
16682,College Of Medical Sciences Teaching Hospital,Hospital,Chitwan
16687,sancho,Pharmacy,Chitwan
16700,Bharatpur District Hospital,Hospital,Chitwan
16710,Chitwan Medical College Teaching Hospital,Hospital,Chitwan
16735,Balkumari Maternity Hospital,Hospital,Chitwan
16756,Narayani Samydayik Hospital,Hospital,Chitwan
16881,Himal Dental Hostipal,Dental Clinic,Chitwan
16882,Himal Dental Hostipal,Dental Clinic,Chitwan
16883,Laliguras Dental Care Centre,Dental Clinic,Chitwan
16884,Kamal Medical Hall,Pharmacy,Chitwan
16910,school of science,Hospital,Chitwan
16929,Pharmacy,Pharmacy,Chitwan
16930,Chitwan Hospital,Hospital,Chitwan
17063,purna ganesh,Dental Clinic,Chitwan
17085,kalika dental,Dental Clinic,Chitwan
17086,Alive Hospital,Hospital,Chitwan
17087,Puspanjali Hospital,Hospital,Chitwan
17088,life care hospital,Hospital,Chitwan
17089,Chitwan Ankha Hospital,Hospital,Chitwan
17090,bharatpur samudaik hospital,Hospital,Chitwan
17091,niko childrens hospital,Hospital,Chitwan
17092,Jay Buddha Hospital,Hospital,Chitwan
17093,regmi vetnery,Veterinary,Chitwan
17095,jasmin children home,nursing_home,Chitwan
17096,M.K.R. pharmacy,Pharmacy,Chitwan
17097,Advance Community Hospital,Hospital,Chitwan
17098,asha hospital,Hospital,Chitwan
17099,Asha Hospital pvt.ltd,Hospital,Chitwan
17100,Maulakalika Hospital,Hospital,Chitwan
17101,Life Pharmacy,Pharmacy,Chitwan
17105,abaya upchar kendra,Hospital,Chitwan
17106,padam,Dental Clinic,Chitwan
17107,rupali homeo rohit ayurvedic,Ayurvedic,Chitwan
17108,avaya upchar kendra,Hospital,Chitwan
17109,Shanti Hospital,Hospital,Chitwan
17110,Om Hospital,Hospital,Chitwan
17111,global medical,Pharmacy,Chitwan
17112,National Eye Hospital,Hospital,Chitwan
17113,su sampada pharmacy,Clinic,Chitwan
17114,Chitwan Valley Model Hospital,Hospital,Chitwan
17115,Mankamana Hospital,Hospital,Chitwan
17116,Anamol Arayog Kandra,Hospital,Chitwan
17506,Subidha Pharmacy,Pharmacy,Chitwan
17605,Sathi Pharmacy,Pharmacy,Chitwan
17608,Basnet Medical Hall,Pharmacy,Chitwan
18117,Dawadi Clinic,Clinic,Chitwan
18120,Anjan Veterinary,Veterinary,Chitwan
49023,District Ayurved Health Centre,,35
49024,Pithuwa Health Post,Health Post,Chitwan
49025,Dobato Health Clinic,,35
49026,"Basic Health Service Center, Ra.Na.Pa. 10",Primary Health Care Center,Chitwan
49027,"Basic Health Service Center, Ra.Na.Pa. 15",Primary Health Care Center,Chitwan
49028,Gunjaman Singh Hospital,,35
49029,Dumrichowk Nagar Swastha Kendra,,35
49030,"Pashu Sewa Kendra, Ra.Na.Pa. 10",,Chitwan
49031,Panchakanya Health Post,Health Post,Chitwan
49032,Jirauna Nagar Swastha Kendra,,35
49033,Jamunapur Health Clinic,,35
49034,"Basic Health Service Center, Ra.Na.Pa. 12",Primary Health Care Center,Chitwan
49035,Tarauli Nagar Swastha Kendra,,35
49036,Bachhyauli Health Post,Health Post,Chitwan
49037,Community Help Center Nepal,,35
49038,Sauraha Eye Care Center,,35
49039,Madhyawati Chhetra Pasu Sewa Upovokta Samiti,,35
49040,"Basic Health Service Center, Ra.Na.Pa. 7",Primary Health Care Center,Chitwan
49041,"Nagar Swasthya Kendra, Narkatiya",,
49042,"Basic Health Service Center, Ra.Na.Pa. 9",Primary Health Care Center,Chitwan
49043,"Basic Health Service Center, Ra.Na.Pa. 3",Primary Health Care Center,Chitwan
49044,"Basic Health Service Center, Ra.Na.Pa. 4",Primary Health Care Center,Chitwan
49045,Bakulahar Ratnanagar Hospital,,35
49754,Basic Health Care Center -1,,35
49755,Chainpur Health Post,,35
49756,Basic Health Care Center-3,,35
49757,Basic Health Care Center-4,,35
49758,Basic Health Care Center-5,,35
49759,Khairahani Nagar Hospital,,35
49760,Basic Health Care Center-7,,35
49761,Basic Health Care Center-8,,35
49762,Basic Health Care Center-9,,35
49763,Khathar Health Post,,35
49764,Basic Health Care Center-11,Basic Health Care Center,Chitwan
49765,Kumroj Health Post,,35
49766,Basic Health Care Center-13,Basic Health Care Center,Chitwan
49801,"Adharbhut Swasthya Sewa Kendra, Kalika-5",,
49802,Om Pharma Medical,Clinic (Eye/Medical),Chitwan
49803,Janastar Clinic,,35
49804,Kalika Nagar Hospital,,35
49805,Adarbhut Swasthya Sewa Kendra,,
49806,Adarbhut Swasthya Sewa Kendra,,
49807,"Adarbhut Swasthya Sewa Kendra, Kalika-2",,
49808,Yogdan Health Clinic Pvt. Ltd.,Clinic (Eye/Medical),Chitwan
49809,Prakash Clinic,,35
49810,Shrestha Health Clinic,,35
49811,KTM Polyclinic,,35
49812,Dev Swasthya Clinic,,35
49813,Om Sai Clinic,,35
49814,Jutpani Medical Hall,Clinic (Eye/Medical),Chitwan
49815,"Adarbhut Swasthya Sewa Kendra, Kalika-7",,
49816,Padampur Swasthya Chauki,,
49817,Khulal Medical,Clinic (Eye/Medical),Chitwan
49818,"Adharbhut Swasthya Sewa Kendra, Kalika-8",,
49819,Sancho Health Clinic,,35
49820,Shaktikhor Swasthya Chauki,,
49821,Dipendra Medical,Poly Clinic,Chitwan
49822,Padampur Health Clinic,,35
49823,Siddhi Swasthya Chauki,Health Post,Chitwan
50030,Dr. Bikram Clinic,,35
50031,Aadharbhut Swastha Sewa Kendra,,35
50032,Maskey Central Hospital Pvt. Ltd.,Poly Clinic,Chitwan
50033,Piple Swastha Chauki,Basic Hospital,Chitwan
50034,"Adharbhut Swastha Sewa Kendra, Pratappur",,
50035,Daduwa Medicall Hall,Primary Hospital,Chitwan
50036,Adharbhut Swastha Sewa Kendra Ward-4,Basic Hospital,Chitwan
50037,Rapti Chaudhary Polyclinic Bhandara Pvt. Ltd.,Poly Clinic,Chitwan
50038,Bhandara Hospital,,35
50039,Naba Deep Polyclinic Pvt. Ltd.,Poly Clinic,Chitwan
50040,Adharbhut Swastya Sewa Kendra,,35
50041,Birendranagar Ayurved,Ayurveda Hospital,Chitwan
50042,Yugal Ayurveda Medicine Center,Ayurveda Hospital,Chitwan
50043,Allfit Polyclinic Pvt. Ltd.,,Chitwan
50044,Khop Tatha Gaunghar Clinic,,35
50045,Adharbhut Swastha Sewa kendra,Basic Hospital,Chitwan
50046,Adharbhut Swastha Sewa Kendra Ward 08,,Chitwan
50047,Maulakalika Polyclinic and Research Center Pvt. Ltd.,Poly Clinic,Chitwan
50048,Kharahe Samudayak Swastha Kendra,,35
50049,Lothar Swastha Chauki,Health Post,Chitwan
58744,Basis Health Service Centre Sitalpur _Chitwan,Basic Health Service Centre,Chitwan
58856,Chitwan Model Hospital,General Hospital,Chitwan
58862,Jaldevi Urban Health Center_Chitwan,Urban Health Center,Chitwan
62011,"Padampur Health Post Kalika - 4,Chitwan",??????????????????????????????? ???????????,35
62013,"Siddhi Health Post, Kalika - 10,Chitwan",??????????????????????????????? ???????????,35
62014,"Basic Health Service Centre Kalika -1, Chitwan",??????????????????????????????? ???????????,35
62173,Mathura Nagar Health Center,Health Clinic,Chitwan
62343,"Basic Health Service Centre,Kalika- 5, Chitwan",??????????????????????????????? ???????????,35
62363,Khadananda Dawadi Basic Health Center,Basic Health Service Centre,Chitwan
62364,Jaldevi  Basic Health  Center,Basic Health Service Centre,Chitwan
62365,Aaptari Basic Health Center,Basic Health Service Centre,Chitwan
62366,Bhimlal Basic Health  Center,Basic Health Service Centre,Chitwan
62367,Thimura Basic Health  Center,Basic Health Service Centre,Chitwan
62368,Gunjanagar Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62369,Patihani Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62370,Devghat Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62371,Shivaghat Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62372,Bharatpur Health Post,Basic Health Service Centre,Chitwan
62373,Fulbari Health Post,Basic Health Service Centre,Chitwan
62374,Shahid Ganesh Gitanagar Health Post,Basic Health Service Centre,Chitwan
62375,Gunjanagar Health Post,Basic Health Service Centre,Chitwan
62376,Jagatpur Health Post,Basic Health Service Centre,Chitwan
62377,Mangalpur Health Post,Basic Health Service Centre,Chitwan
62378,Parbatipur Health Post,Basic Health Service Centre,Chitwan
62379,Patihani Health Post,Basic Health Service Centre,Chitwan
62380,Sharadanagar Health Post,Basic Health Service Centre,Chitwan
62381,Shivanagar Primary Health Center,Basic Health Service Centre,Chitwan
62382,Rammandir Basic Health Center,Basic Health Service Centre,Chitwan
62383,"Shashinagar Basis Health Centre,",Basic Health Service Centre,Chitwan
62384,Torikhet  Urban Health Centre,Basic Health Service Centre,Chitwan
62385,Sharadpur Basic Health Center,Basic Health Service Centre,Chitwan
62386,Nagarban Basic Health Center,Basic Ayurveda Service Centre,Chitwan
62387,Krishnapur Basic Health Center,Basic Health Service Centre,Chitwan
62388,Munal Basic Health Center,Basic Health Service Centre,Chitwan
62389,Suryanagar Urban Health Center,Basic Health Service Centre,Chitwan
62390,Bhimnagar Basic Health Center,Basic Health Service Centre,Chitwan
62392,Meghauli Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62393,Daletar Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
62394,Chaukidanda Community Health Unit,Basic Health Service Centre,Chitwan
62395,Dibyanagar Health Post,Basic Health Service Centre,Chitwan
62396,Kabilas Health Post,Basic Health Service Centre,Chitwan
62397,Meghauli Health Post,Basic Health Service Centre,Chitwan
62398,Shukranagar Health Post,Basic Health Service Centre,Chitwan
62399,Kasara Urban Health Center,Basic Health Service Centre,Chitwan
62400,Dhurba Basic Health Center,Basic Health Service Centre,Chitwan
62401,Jitpur Basic Health Center,Basic Health Service Centre,Chitwan
64458,Chandibhanjyang Hp Chitawan,Health Post,Chitwan
64459,Dahakhani Hp_Chitawan,Basic Health Service Centre,Chitwan
64460,Ichchhakamana Basic Hospital,Basic Hospital (5 to 15 beds),Chitwan
64461,Kaule Hp Chitawan_Chitawan,Health Post,Chitwan
64462,Pamdanda Hp_Chitawan,Health Post,Chitwan
64463,Bharatpur Samudayik Hospital,General Hospital,Chitwan
64464,Aasha Hospital_Chitawan,General Hospital,Chitwan
64465,Madi Aayurved Dispensary,Basic Ayurveda Service Centre,Chitwan
64466,Baghauda Hosptial_Chitawan,General Hospital,Chitwan
64467,Gardi Hp_Chitawan,Basic Health Service Centre,Chitwan
64468,Kalyanpur Hp_Chitawan,Basic Health Service Centre,Chitwan
64469,"Basis Health Service Center Radhapur , Chitwan",Basic Health Service Centre,Chitwan
64470,"Basis Health Service Centresaulibas,Chitwan",Basic Health Service Centre,Chitwan
64471,"Basis Health Service Center Krishanagar, Chitwan",Basic Health Service Centre,Chitwan
65269,"Basic Health Service Center , Majhkaule Chitwan",Basic Health Service Centre,Chitwan
65270,"Community Health Unit Bharang ,Chitwan",Basic Health Service Centre,Chitwan
65271,Majhgawn  Basis Health Service Centre,Basic Health Service Centre,Chitwan
65272,"Syandi Basis Health Service,Chitwan",Basic Health Service Centre,Chitwan
66984,Adharbhut Ayurved Health Service,Basic Health Service Centre,Chitwan
66985,Nagarik Arogya Sewa Kendra Benighat,Basic Ayurveda Service Centre,Chitwan
67016,"Basic Health Unit,Kauchhini",Basic Health Service Centre,Chitwan
67042,Ichchhakamana Polyclinic Pvt Ltd,Homeopathy Hospital,Chitwan
67348,"Basic Health Service Centre-13,Kaalitar",Basic Health Service Centre,Chitwan
68323,Bp Koirala Memorial Cancer Hospital,Specialized Hospital,Chitwan
68360,Sanju Laboratory,Laboratory "E",Chitwan
68361,Nawajiwan Clicnic,Medical Centre,Chitwan
68362,Anmol Dental Clinic,Dental Clinic,Chitwan
68363,Anmol Dental,Dental Clinic,Chitwan
68364,Rara Swasthya Clicnic,Health Clinic,Chitwan
68365,Clinic Nepal,Health Clinic,Chitwan
68366,Rohit Pathology,Laboratory "E",Chitwan
68367,Rampur Health Care,Health Clinic,Chitwan
68368,Meghauli Geratric Pharma Clinic,Medical Centre,Chitwan
68369,Sidheswar Health Care Clinic,Health Clinic,Chitwan
68370,Sabitri Dental,Laboratory "D",Chitwan
68371,Bhuwanbasti Medical,Medical Centre,Chitwan
68372,Nilanju Dental Care,Dental Clinic,Chitwan
68373,Shova Clinic,Medical Centre,Chitwan
68374,Swastik Health Clinic,Medical Centre,Chitwan
68375,New Wey Foundation,Rehabilitation Centre (Physical),Chitwan
68376,Panchasil Health Care Clinic,Medical Centre,Chitwan
68377,Panchasil Health Care Clinic,Medical Centre,Chitwan
68378,Panchasil Health Care Clinic,Medical Centre,Chitwan
68379,Panchasil Health Care Clinic,Medical Centre,Chitwan
68380,Nidan Child Clicnic,Medical Centre,Chitwan
68381,Susan Clicnic,Medical Centre,Chitwan
68382,Apolo Dentel Clicnicx,Medical Centre,Chitwan
68383,Chitwan Model Dental,Medical Centre,Chitwan
68384,Nawal Smart Clinic,Medical Centre,Chitwan
68385,Nabal Dental Clinic,Dental Clinic,Chitwan
68386,Sri Dental Clinic,Dental Clinic,Chitwan
