id,title,type,DISTRICT_max,GAPA_NAPA_min,Long,Lat
13988,Baidi SHP,Health Post,TANAHU,Devghat,84.319702,27.85393
14006,Chhipchhipe HP,Health Post,TANAHU,Devghat,84.356712,27.81942
14009,Sinchyang HP,Health Post,TANAHU,Devghat,84.433342,27.82411
14022,Kota SHP,Health Post,TANAHU,Devghat,84.338364,27.758381
57174,Baidi Hp_Tanahu,Health Post,TANAHU,Devghat,84.317175,27.855843
57175,Chhipchhipe Hp_Tanahu,Health Post,TANAHU,Devghat,84.355751,27.818469
57176,Kota Hp_Tanahu,Health Post,TANAHU,Devghat,84.338163,27.758348
57177,Sinchyang Hp_Tanahu,Health Post,TANAHU,Devghat,84.433501,27.824324
64497,Devghat Hp_ Tanahu,Health Post,TANAHU,Devghat,84.441799,27.756975
64498,Devghat Dharmartha Hospital_ Tanahu,Basic Hospital (5 to 15 beds),TANAHU,Devghat,84.426648,27.746653
13779,Gajuri PHC,Primary Health Care Center,DHADING,Gajuri,84.879997,27.80632
13780,Gajuri Hospital,Hospital,DHADING,Gajuri,84.879333,27.80547
13781,Marie Stopes Service,Other,DHADING,Gajuri,84.875732,27.80489
13795,Kumpur SHP,Health Post,DHADING,Siddhalek,84.884651,27.844191
13802,Nalang SHP,Health Post,DHADING,Siddhalek,84.826599,27.8703
13803,Shiddha Samaj Sewa Nepal,Other,DHADING,Siddhalek,84.813164,27.86375
13812,Salang HP,Health Post,DHADING,Siddhalek,84.79599,27.854271
16101,Gajuri Hospital,Hospital,DHADING,Gajuri,84.879362,27.805245
17498,"Primary Health Center, Gajuri",Hospital,DHADING,Gajuri,84.879984,27.806481
52255,Bhadrakali Kandel Eye Care Center,Clinic (Eye/Medical),DHADING,Benighat Rorang,84.781102,27.810638
52256,Aryana Pharma,Pharmacy,DHADING,Benighat Rorang,84.781246,27.81124
52257,Benighat Health Post,Health Post,DHADING,Benighat Rorang,84.779742,27.809727
52258,Pashupati Medical Hall,Pharmacy,DHADING,Benighat Rorang,84.833173,27.810975
52259,Highway Community Hospital,General Hospital,DHADING,Benighat Rorang,84.833794,27.811125
52260,Highway Daigonosis Center,Pharmacy,DHADING,Benighat Rorang,84.828017,27.81382
52261,Basic Health Care Center,Basic Health Care Center,DHADING,Benighat Rorang,84.807549,27.815524
62017,Dumrichaur Basic Health Service Center,Basic Health Service Centre,DHADING,Gajuri,84.879936,27.806305
62018,Aamdanda Basic Health Service Center,Basic Health Service Centre,DHADING,Galchi,84.93392,27.83837
64442,Kumpur Hp,Basic Health Service Centre,DHADING,Siddhalek,84.884598,27.844109
64445,Gajuri Phc,Basic Health Service Centre,DHADING,Gajuri,84.880035,27.806313
64446,Gajuri Hospital,Basic Hospital (5 to 15 beds),DHADING,Gajuri,84.879387,27.805191
66199,Bal Devi Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.850548,27.872971
66203,Salang Ghat Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.813667,27.81579
66204,Aadamtar Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.935829,27.809383
66205,Bag Bachhalaa Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.885643,27.855705
66206,Jalpaa Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.906425,27.820841
66209,Malekhu Teaching Hospital,Basic Hospital (5 to 15 beds),DHADING,Gajuri,84.835159,27.805803
66215,Kalika Bhsc,Basic Health Service Centre,DHADING,Siddhalek,84.824371,27.834328
13986,Anbukhaireni SHP,Health Post,TANAHU,Anbukhaireni,84.530853,27.909389
14005,Chhimkeshwori SHP,Health Post,TANAHU,Anbukhaireni,84.49324,27.853729
14008,Deurali SHP,Health Post,TANAHU,Anbukhaireni,84.461082,27.88759
16932,Health Post,Health Post,TANAHU,Anbukhaireni,84.530858,27.909569
17726,Koirala Medical Hall,Pharmacy,TANAHU,Anbukhaireni,84.537951,27.901912
17733,Shree Chhimkeswori Pharmacy,Pharmacy,TANAHU,Anbukhaireni,84.537162,27.901422
17738,Shree Chhimkeswori General Hospital,Hospital,TANAHU,Anbukhaireni,84.537139,27.901411
57182,Nagrik Arogaya Sewakendra,Basic Ayurveda Service Centre,TANAHU,Anbukhaireni,84.5309,27.9094
57183,Chhimkeshwori Hp_Tanahu,Health Post,TANAHU,Anbukhaireni,84.4932,27.8537
57184,Deurali Hp Tanahu_Tanahu,Health Post,TANAHU,Anbukhaireni,84.4611,27.8876
57185,"Chhimkeshwori (P) Hospital, Tanahu",General Hospital,TANAHU,Anbukhaireni,84.53589,27.902333
64502,Om Biraj Dental Clinic,Clinic (Dental/Eye/Medical????.),TANAHU,Anbukhaireni,84.538644,27.902177
64768,Satrasaya Bhsc,,TANAHU,Anbukhaireni,84.469794,27.937913
64776,Tilbari Bhsc,,TANAHU,Anbukhaireni,84.497187,27.92168
65965,Aanbookhaireni_Hospital,General Hospital,TANAHU,Anbukhaireni,84.530813,27.909677
11047,Bridhim HP,Health Post,RASUWA,Gosaikunda,85.367264,28.19857
11048,Thambuchet HP,Health Post,RASUWA,Parbati Kunda,85.302711,28.18247
11050,"District Hospital , Rasuwa",Hospital,RASUWA,Gosaikunda,85.296593,28.110069
11051,Rasuwa HP,Health Post,RASUWA,Gosaikunda,85.299088,28.111441
11052,Gatlang SHP,Health Post,RASUWA,Parbati Kunda,85.276482,28.1577
11053,Goljung HP,Health Post,RASUWA,Parbati Kunda,85.316109,28.170839
11054,Haku SHP,Health Post,RASUWA,Parbati Kunda,85.263153,28.116011
11057,Langtang HP,Health Post,RASUWA,Gosaikunda,85.506622,28.2169
11060,Syafrubesi HP,Health Post,RASUWA,Gosaikunda,85.341232,28.165251
11062,Thuman SHP,Health Post,RASUWA,Gosaikunda,85.338226,28.21102
11063,Timure HP,Health Post,RASUWA,Gosaikunda,85.358902,28.242241
12132,Destrict Community Eye Center,Other,RASUWA,Gosaikunda,85.296593,28.112221
12133,"2,900,540,101",Hospital,RASUWA,Gosaikunda,85.296638,28.11224
12134,FK Health Clinic,Other,RASUWA,Parbati Kunda,85.305229,28.168831
12137,Mountain Fund Clinic,Other,RASUWA,Gosaikunda,85.35955,28.1409
12138,Panta Medical Hall,Clinic,RASUWA,Gosaikunda,85.3367,28.162001
17469,Dhunche Pharmacy,Pharmacy,RASUWA,Gosaikunda,85.297803,28.111536
17471,Rasuwa District Hospital,Hospital,RASUWA,Gosaikunda,85.296484,28.110444
18056,Langtang Valley Clinic,Clinic,RASUWA,Gosaikunda,85.519196,28.215505
55230,Handicap International,Clinic (Dental/Eye/Medical????.),RASUWA,Gosaikunda,85.2991,28.1114
55231,District Aayurved Health Center,Ayurveda Health Center (General Ayurveda Hospital),RASUWA,Gosaikunda,85.2966,28.1101
55232,District Hospital Rasuwa,General Hospital,RASUWA,Gosaikunda,85.296311,28.110589
55233,Bridhim Health Post,Basic Health Service Centre,RASUWA,Gosaikunda,85.3673,28.1986
55234,Langtang Health Post Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.5066,28.2169
55235,Rasuwa Health Post Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.2991,28.1114
55236,Syafrubesi Health Post Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.340912,28.165067
55237,Thuman Health Post Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.3382,28.211
55238,Timure Health Post Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.37,28.241
55239,District Jail,Basic Health Service Centre,RASUWA,Gosaikunda,85.2991,28.1114
55240,Rasuwa Community Eye Center,Eye Treatment Centre,RASUWA,Gosaikunda,85.2991,28.1114
55241,Gatlang Health Post,Basic Health Service Centre,RASUWA,Parbati Kunda,85.2765,28.1577
55242,Goljung Hp,Basic Health Service Centre,RASUWA,Parbati Kunda,85.3161,28.1708
55243,Haku Health Post,Basic Health Service Centre,RASUWA,Parbati Kunda,85.2632,28.116
55244,Thambuchet Health Post,Basic Health Service Centre,RASUWA,Parbati Kunda,85.3027,28.1825
55245,Bogatitar Community Health Unit,आधारभूत स्वास्थ्य सेवा केन्द्र,RASUWA,Gosaikunda,85.2991,28.1114
58720,Mailung Chu,आधारभूत स्वास्थ्य सेवा केन्द्र,RASUWA,Gosaikunda,85.2991,28.1114
58741,"Gray Basic Health Service Centre , Rasuwa",Basic Health Service Centre,RASUWA,Gosaikunda,85.2991,28.1114
58769,"Saramthali Besic Health Service Center Samthali, Rasuwa",Basic Health Service Centre,RASUWA,Gosaikunda,85.2991,28.1114
58809,"Sarsyu Besic Health Service Center, Sarsyu, Rasuwa",Basic Health Service Centre,RASUWA,Gosaikunda,85.2991,28.1114
66566,Dahalfedi Community Health Unit Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.352242,28.229209
67031,Khamjing Community Health Unit Rasuwa,Basic Health Service Centre,RASUWA,Gosaikunda,85.359975,28.176305
67229,"Thulosyafru Community Health Unit, Rasuwa",Basic Health Service Centre,RASUWA,Gosaikunda,85.359686,28.141136
67230,Dobo Temba Phurpa Basic Hospital,Basic Ayurveda Service Centre,RASUWA,Parbati Kunda,85.315566,28.167178
11055,Jibjibe PHC,Primary Health Care Center,RASUWA,Kalika,85.224136,27.992161
11056,Laharepouwa HP,Health Post,RASUWA,Uttargaya,85.198036,28.01445
11058,Ramche HP,Health Post,RASUWA,Kalika,85.217827,28.033369
12135,Kalika Community Hospital,Hospital,RASUWA,Kalika,85.20343,27.994101
12136,Kalika Pharmacy,Medical/Pharmecy,RASUWA,Kalika,85.212051,28.00205
16353,Kalika Community Hospital,Hospital,RASUWA,Kalika,85.203463,27.993887
55247,Laharepouwa Hp,Health Post,RASUWA,Uttargaya,85.198,28.0145
55250,"Beteni Basic Health Service Center,Rasuwa",Basic Health Service Centre,RASUWA,Kalika,85.204648,27.983984
55251,Kalika Basic Health Service Center,Basic Health Service Centre,RASUWA,Kalika,85.203411,27.995763
55252,Ramche Health Post,Basic Health Service Centre,RASUWA,Kalika,85.219135,28.031807
55253,Jibjibe Gramin Hospital,Basic Hospital (5 to 15 beds),RASUWA,Kalika,85.224102,27.992244
58768,"Dhuseni Basic Health Service Center,Kalika",Basic Health Service Centre,RASUWA,Kalika,85.22915,27.981456
14418,Kaule HP,Health Post,NUWAKOT,Kispang,85.1343,28.00349
14426,Fikuri HP,Health Post,NUWAKOT,Kispang,85.165123,28.002831
14427,Manakamana SHP,Health Post,NUWAKOT,Kispang,85.169113,28.01478
14428,Thap Manakamana SHP,Health Post,NUWAKOT,Kispang,85.174309,27.987789
55307,Kaule Hp Nuwakot,Basic Health Service Centre,NUWAKOT,Kispang,85.1343,28.0035
11049,Dandagoun HP,Health Post,RASUWA,Uttargaya,85.185417,28.036381
11061,Thulogoun SHP,Health Post,RASUWA,Uttargaya,85.171219,28.02598
55246,Dandagoun Hp,Health Post,RASUWA,Uttargaya,85.1854,28.0364
55248,Thulogoun Hp,Health Post,RASUWA,Uttargaya,85.1712,28.026
61832,Tiru Community Health Unit,Community Health Unit,RASUWA,Uttargaya,85.21125,28.090052
14947,Kaule SHP,Health Post,CHITAWAN,Ichchhyakamana,84.648804,27.77293
