id,title,titleNe,descriptio,dataSource,dataSour_1,dataSour_2,lastModifi,components,localAddre,localAdd_1,gr,noOfEmploy,noOfMaleEm,noOfFemale,noOfOtherE,noOfDiffer,noOfDiff_1,noOfDiff_2,otherCompo,ownership,elevation,otherOwner,followsGui,serviceTyp,operationa,hospitalBe,icuBed,status,capacityIn,promoter,totalArea,currentLan,remarks,address,emergencyL,operatingD,usableArea,capacity,useOfEvacu,usedAsHeli,isDrinking,isToiletAv,noOfToilet,hasHandWas,noOfHandWa,hasFoodPre,noOfFoodPr,noOfMaleTo,noOfFema_1,noOfCommon,noOfTaps,otherFacil,hasDisable,specifyInf,startTime,endTime,phoneNumbe,vehicleNum,driverName,driverCont,driverAlte,fireEngine,fireBikeCo,otherAppar,ventilator,hasChildIm,hasTdVacci,hasImnci,hasGrowthM,hasSafeMot,hasAntenat,hasPostnat,hasDeliver,hasBasicEm,hasCompreh,hasCompr_1,hasPostAbo,hasCondomP,hasIucd,hasImplant,hasVasecto,hasMinilap,hasOpd,hasGeneral,hasPediatr,hasObsAndG,hasDentalO,hasSurgery,hasGastroi,hasCardiac,hasMental,hasRespira,hasNephrol,hasEnt,hasDermato,hasEndocri,hasOncolog,hasNeurolo,hasOphthal,hasTreatem,hasTreat_1,hasTreat_2,hasTreat_3,hasTreat_4,hasTreat_5,hasLaborat,hasTestHiv,hasTestMal,hasTestTb,hasTestKal,hasUrineRe,hasStoolRe,hasGener_1,hasCulture,hasHormone,hasLeprosy,hasTestCov,hasTestC_1,hasVolunte,hasPmtct,hasAntiRet,hasDental,hasInPatie,hasRadiolo,hasXRay,hasXRayWit,hasUltraso,hasEchocar,hasEcg,hasTrademi,hasCtScan,hasMri,hasEndosco,hasColonos,hasSurgica,hasCaesari,hasGastr_1,hasTraumaS,hasCardi_1,hasNeuroSu,hasPlastic,hasSpecial,hasIcu,hasNicu,hasCcu,hasMicu,hasSncu,hasPicu,hasCardi_2,hasPhysiot,hasAmbulan,hasExtende,hasGeriatr,hasPharmac,hasOcmc,hasHealthI,hasSsu,hasAyurved,hasCovidCl,hasEmergen,hasOperati,hasBloodDo,hasFreeTre,hasFreeT_1,hasFreeT_2,hasFreeT_3,hasFreeT_4,hasFreeT_5,hasFreeT_6,hasFreeT_7,hasFreeT_8,hasFreeT_9,hasInterne,registrati,lastRenewa,dateOfVali,isVerified,verficatio,isApproved,website,emailAddre,localAdd_2,picture,dateOfOper,remarksOnO,operatedBy,religion,otherRelig,drinkingWa,scale,structure,toilet,type,areaOfAirp,kindOfVehi,otherTypeW,numberOfTr,hasDisab_1,nameAndNoO,subtype,otherType,classroomC,isMotorabl,noOfLanes,length,noOfRoom,noOfBed,noOfStuden,noOfMaleSt,noOfFema_2,noOfOtherS,operatorTy,otherOpera,area,altitude,bank,building,hasTechnic,isElectric,isPermanen,level,moneyExcha,atm,noOfDiff_3,noOfDiff_4,noOfDiff_5,noOfStud_1,noOfStud_2,noOfStud_3,noOfStud_4,operationT,bedCount,specializa,outdoorSer,indoorServ,familyPlan,startingDa,surfaceTyp,surfaceLev,otherSurfa,otherSur_1,hasRoadAcc,storageFac,internetFa,tankBuildD,technicalS,technica_1,placementO,sourceOfWa,noOfServic,isWaterSup,towersName,coverageRa,frequency,isp,hasInter_1,vaccinatio,birthingCe,hasOtherSe,otherServi,serviceUse,width,condition,windDirect,heliMarker,nightLight,helipadCon,wireless,fiber,cable,otherInter,hasEvacuat,designedWi,hasDisaste,hasDrinkin,hasFocalPe,focalPerso,focalPer_1,focalPer_2,focalPer_3,focalPer_4,hasHumanit,hasToilet,isDesigned,hasHelipad,numberOf_1,hasSafetyE,remarksOnB,hasOpenSpa,areaOfOpen,capacityOf,hasDisas_1,hasMedicin,hasBackupE,hasWashFac,hfCode,authority,authorityL,serviceSha,specifyCom,hasDisas_2,specifyAwa,providesDi,specifyDis,hasHealthC,specifyD_1,hasEmploye,noOfEmpl_1,isDrrRelat,specifyWas,hasSleepin,noOfBeds,noOfMats,noOfCots,hasElectri,noOfSleepi,typeOfAppa,numberOfFi,numberOf_2,numberOfOt,extraAppar,ward,province,district,municipali,resourceTy,resource_t,district_i,district_n,districtId,districtNa,layer,path
52251,Parshant Pharmacy,प्रशान्त फार्मेसी,,,,,2023/01/10 16:47:52.480,,Chaukitar,,,,,,,,,,,Private Enterprises,,,,Allopathy,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06:00:00","08:00:00",+977-9846891710,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,2068/08/12,2078/10/14,2080/10/19,false,,false,,,,https://bipadportal.gov.np/mediafiles/resources/health/1663134420022.jpg,,,,,,,,,,Pharmacy,,,,,false,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,Pharmacy,,,true,,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,true,,,,false,,,,,,,,false,false,,,,false,,,,false,false,,,Non Government,Local,,,,,,,,,,,,,,,,,,,,,,,,3125,,,,health,health,26,Dhading,26,Dhading,Dhading_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Dhading_Hospital.shp
52253,Bihani Clinic and Pharmacy Private Limited,बिहानि क्लिनिक र फार्मेसि प्राइभेट लिमिटेड,,,,,2023/01/10 16:47:53.602,,Majhimtar,,,3,"2","1",,,,,,Private Enterprises,,,,Allopathy,Functional,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07:00:00",20:00:00,+977-9813769357,,,,,,,,,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,2075/05/18,2079/4/29,2080/4/29,false,,false,,,,https://bipadportal.gov.np/mediafiles/resources/health/1663138769997.jpg,,,,,,,,,,Clinic (Eye/Medical),,,,,false,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,5,,,,true,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,true,,,,false,,,,,,,,false,false,,,,false,,,,false,true,,,Non Government,,,,,,,,,,,,,,,,,,,,,,,,,3125,,,,health,health,26,Dhading,26,Dhading,Dhading_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Dhading_Hospital.shp
52254,Basic Health Care Center,आधारभुत स्वास्थय सेवा केन्द्र,,,,,2023/01/10 16:47:53.991,,Charaudi,,,4,"1","3",,,,,,Local Government,,,,Allopathy,Functional,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramp, toilet",10:00:00,17:00:00,+977-9863643555,,,,,,,,,true,true,true,true,true,true,true,true,false,false,false,false,true,false,false,false,false,true,true,true,true,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,,2075/10/15,,,false,,false,,,,https://bipadportal.gov.np/mediafiles/resources/health/1663661834109.jpg,,"Summer:10-5
Winter:10-4",,,,,,,,Basic Health Care Center,,,,,true,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,2,Birthing center,,,true,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,false,,,,false,,,,,,,,true,false,,,,false,,,,false,true,,,Government,Local,,,,,,,,,,,,,,,,,,,,,,,,3082,,,,health,health,26,Dhading,26,Dhading,Dhading_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Dhading_Hospital.shp
52258,Pashupati Medical Hall,पशुपति मेडिकल हल,,,,,2023/01/10 16:47:55.529,,Malekhu,,,,,,,,,,,Private Enterprises,,,,Allopathy,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"07:00:00",20:00:00,+977-9841121532,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,2059/05/20,2079/04/10,2080/04/10,false,,false,,,,https://bipadportal.gov.np/mediafiles/resources/health/1666245226963.jpg,,,,,,,,,,Pharmacy,,,,,false,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,Pharmacy,,,true,,,,,,,,,,,,,,,,,,,,true,false,,,,,,,,,,,,,,,false,,,,false,,,,,,,,false,false,,,,false,,,,false,false,,,Non Government,Local,,,,,,,,,,,,,,,,,,,,,,,,3114,,,,health,health,26,Dhading,26,Dhading,Dhading_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Dhading_Hospital.shp
52259,Highway Community Hospital,राजमार्ग सामुदायिक अस्पताल,,,,,2023/01/10 16:47:55.863,,Malekhu,,,15,"8","7",,,,,,Humanitarian Organization,,,,Allopathy,Functional,Functional,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ramp,"00:00:00","00:00:00","+977-9851039084,010-400077",,,,,,,,,true,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,false,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,false,false,true,true,false,true,false,false,false,true,false,false,false,false,false,false,,2062/08/02,2079/08/22,2080/08/22,false,,false,www.rajmargahospital.com,rajmargahospital076@gmail.com,,https://bipadportal.gov.np/mediafiles/resources/health/1666246658523.jpg,,,,,,,,,,General Hospital,,,,,true,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,25,General services,,,true,,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,,,,,true,,,,true,+977-9851039084,Keshav makaju,,,,,,true,false,,,,true,2.0 ropani,,,true,true,,,Non Government,Local,,,,,,,,,,,,,,,,,,,,,,,,3114,,,,health,health,26,Dhading,26,Dhading,Dhading_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Dhading_Hospital.shp
11042,Nuwakot Hospital Pvt Ltd,,,,,,2022/02/25 18:56:32.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,,,,,Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629,,,,health,health,25,Nuwakot,25,Nuwakot,Nuwakot_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Nuwakot_Hospital.shp
11060,Syafrubesi HP,,,,,,2022/02/25 18:56:32.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,,,,,Health Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,,,,health,health,23,Rasuwa,23,Rasuwa,Rasuwa_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Rasuwa_Hospital.shp
11063,Timure HP,,,,,,2022/02/25 18:56:32.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,,,,,Health Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,,,,health,health,23,Rasuwa,23,Rasuwa,Rasuwa_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Rasuwa_Hospital.shp
12138,Panta Medical Hall,,,,,,2022/02/25 18:56:21.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,,,,,,,,,,,,,,Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1429,,,,health,health,23,Rasuwa,23,Rasuwa,Rasuwa_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Rasuwa_Hospital.shp
55236,Syafrubesi Health Post Rasuwa,,,nhfr_api,2395,,2026/08/09 12:25:29.180,,,,,,,,,,,,,Local Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,"010541060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,"03/12/2036",,,false,,false,,syafruhp123@gmail.com,,,,,,,,,,,,Basic Health Service Centre,,,,,,,,,,,,,,,,,,,Government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3030100081",,Local,,,,,,,,,,,,,,,,,,,,,,,,1429,,,,health,health,23,Rasuwa,23,Rasuwa,Rasuwa_Hospital,C:\Users\ASUS\Desktop\Bipad Portal (All Point Files)\Health Only\Rasuwa_Hospital.shp
