name,name_local,lon,lat,flood_order,flood_time,flood_reached,distance_km,snap_lon,snap_lat,offset_from_river_m,elevation_m
Seqiong Village,Seqiong Village,85.4291274,28.3385054,1,08:41:00,True,11.460679969568398,85.43472222222226,28.33361111111122,771.3889829876994,2338.226266707815
Labi Village,Labi Village,85.4025572,28.320307,2,08:42:00,True,14.642227628574917,85.41277777777788,28.32111111111118,1006.1769300177875,2161.5436351241997
Rasuwagadhi (Rashuwa),रसुवागढी,85.3777789,28.2777749,3,08:44:00,True,22.006199677286197,85.37694444444446,28.27833333333336,102.6180071544387,1799.0
Timure,Timure,85.3666715,28.2528483,4,08:46:00,True,25.68890999840827,85.3650000000037,28.25284831027047,164.01291184055708,1703.732998085248
Syabrubesi,SyapruBesi,85.3399278,28.1643861,5,08:50:00,True,37.61305924244294,85.34027912254479,28.16393581867778,60.66409628868093,1425.195001382914
Ghale Gaun,Ghale Gaun,85.2,28.05,6,,True,58.098964186539334,85.20262933110237,28.04924523730221,271.6985374479263,815.1229464758256
Betrawati,बेत्रावती,85.1859528,27.9731085,7,09:24:00,True,68.01982648579995,85.18454798000005,27.972471900000127,155.17766684692543,609.0
Trishuli Bazaar,Trishuli Bridge,85.1479929,27.9231601,8,,True,76.08404507027879,85.1489451616828,27.92157830312341,198.7811379061432,529.5470248768576
Bidur,Bidur,85.146446,27.89526,9,09:38:00,True,79.51933192091187,85.14005115219986,27.9016128571472,944.4813990455164,500.7532827980143
Malekhu,मलेखु,84.82724,27.813705,10,,True,126.52078516179347,84.82226531843023,27.81447320796391,497.576888078267,349.80692114631927
Devpur,Devpur,84.4236085,27.7503594,11,,True,199.2194616353007,84.42462840999997,27.74253847999995,872.8372934851611,192.1547545884337
Bharatpur,Bharatpur,84.4301652,27.6811896,12,,True,204.91293312716746,84.42007644,27.69914636,2225.72891029785,180.0
Chanauli,Chanauli,84.2976484,27.6179943,13,,False,222.12050117788039,84.27382361,27.66909197,6134.0160451409965,164.0
